ï»¿Id,Sentiment,Acara TV,Jumlah Retweet,Text Tweet
1,positive,HitamPutihTransTV,12,undang  nshanijkt hitamputih menang ssk jkt mjkt layak undang prestasi
2,positive,HitamPutihTransTV,6,selamat buka puasa moga amal ibadah ni terima allah  hitamputih
3,positive,HitamPutihTransTV,9,nih trans hitam putih dpt harga norwegia  hitamputih
4,positive,HitamPutihTransTV,2,selamat ya mas  adietaufan masuk hitamputih
5,positive,HitamPutihTransTV,1,asiknya nonton hitam putih trans
6,positive,HitamPutihTransTV,2, trans acara komplit tarik hitam putih
7,positive,HitamPutihTransTV,1,hitam putih inspiratif banget
8,positive,HitamPutihTransTV,3,suka banget acara hitam putih
9,positive,HitamPutihTransTV,0,keren lu bro  hitamputihtrans
10,positive,HitamPutihTransTV,15,yg liat hitam putih trans ga sanggu ganteng
11,positive,HitamPutihTransTV,2,cinta ikat silaturahmi hati  lunamaya  hitamputihtrans https wwwinstagramcom btqszjjoa
12,positive,HitamPutihTransTV,10,terima kasih bantu sekolah adik  hitamputihtrans
13,positive,HitamPutihTransTV,2,moga lancar hitamputihtrans
14,positive,HitamPutihTransTV,1,trans hitam putih baik https wwwinstagramcom btyytxmgvkd
15,positive,HitamPutihTransTV,9,acara hitam putih bagus lihat
16,positive,HitamPutihTransTV,4, trans undang  darafly acara hitam putih yadia jebol dangdut academi pinter nyanyi lagu india suara keren
17,positive,HitamPutihTransTV,12,bagus rancang trans hitamputih dakwah hibur terima kasih ustadz wijayanto
18,positive,HitamPutihTransTV,3,rihanna bintang tamu hitam putih kayak  asaltrans kangen tayang  trans
19,positive,HitamPutihTransTV,0,terimakasih tonton hitam putih malam moga inspirasi ajar utk sobat  rafatharonhp
20,positive,HitamPutihTransTV,16,acara hitam putih trans topik bagus nih ttg pribadi ganda
21,positive,HitamPutihTransTV,17,nonton kisah anastasya wella  hitamputihtrans seru bgt ya kisah pribadi beda
22,positive,HitamPutihTransTV,3,bikin rindu nya  hitamputihtrans
23,positive,HitamPutihTransTV,5, hitamputih wihh hebat kakek nenek  trans
24,positive,HitamPutihTransTV,11,tunggu sekian  yukikatou nongol hitam putih trans
25,positive,HitamPutihTransTV,0,asik hitam putih
26,positive,HitamPutihTransTV,2,spensa boys poso hitam putih trans asli keren pake kemeja biru putih si gingsul salam
27,positive,HitamPutihTransTV,6,wahh asik nih vocalgrup  hitamputih thanks  trans
28,positive,HitamPutihTransTV,1,slalu nonton hitam putih trans hbs acara nya bagus banget mas dedy
29,positive,HitamPutihTransTV,18,acara hitam putih trans malam bahas mantab tuju banyak ulas
30,positive,HitamPutihTransTV,2,lg seru nonton hitam putih nonton on the spot  indahmariana  hitamputiht  trans
31,positive,HitamPutihTransTV,5, hpjkt  jkthitamputiht trio unyu acara master dedy thanks  hitamputih
32,positive,HitamPutihTransTV,13,usaha jujur kerja yg jujur  hitamputiht
33,positive,HitamPutihTransTV,0,keren undang acara hitamputih acara presiden  newstrans
34,positive,HitamPutihTransTV,2,suka banget episode hitam putih malam  hitamputihtrans
35,positive,HitamPutihTransTV,19,kangen jeket bintang tamu hitam putih trans seru aja gitu pas jaman gen undang hitam putih
36,positive,HitamPutihTransTV,15,terima kasih saksi hitam putih moga inspirasi hibur
37,positive,HitamPutihTransTV,1,ok hitam putih donk undang
38,positive,HitamPutihTransTV,2,inspirasi  hitamputihtrans  focus inspirasi
39,positive,HitamPutihTransTV,4,seru nih hitam putih trans live
40,positive,HitamPutihTransTV,5,syukur hidup indonesia  hitamputihtrans
41,positive,HitamPutihTransTV,15,tuju banget ucap deddy corbuzier hitam putih trans hr guru tanda jasa naik gaji
42,positive,HitamPutihTransTV,8,selamat siang selamat aktivitas tunggu hitam putih chaenel sayang trans
43,positive,HitamPutihTransTV,9, stefanlilipaly   andikvermansah  hitamputiht keren
